"Zipcode","lat","Long","City","State","County","Type","Preferred","WorldRegion","Country","LocationText","Location","Population","HousingUnits","Income","LandArea","WaterArea","Decommisioned","MilitaryRestrictionCodes"
"50001","41.363615","-93.414947","MILO","IA","WARREN","STANDARD","No","NA","US","Milo, IA","NA-US-IA-MILO","615",242,46875,"29.829419","0.090144","No",
"62662","39.550800","-89.845800","WAVERLY","IL","SANGAMON","PO BOX ONLY","No","NA","US","Waverly, IL","NA-US-IL-WAVERLY",,,,,,"No",
"55020","44.571365","-93.360116","NEW MARKET","MN","SCOTT","STANDARD","No","NA","US","New Market, MN","NA-US-MN-NEW MARKET","2326",781,69286,"29.223742","0.351274","No",
"55020","44.571365","-93.360116","NEW MRKT","MN","SCOTT","STANDARD","No","NA","US","New Mrkt, MN","NA-US-MN-NEW MRKT","2326",781,69286,"29.223742","0.351274","No",
"68623","41.441371","-98.109409","CEDAR RAPIDS","NE","NANCE","STANDARD","No","NA","US","Cedar Rapids, NE","NA-US-NE-CEDAR RAPIDS","334",168,33333,"85.073668","0.064418","No",
"73638","35.819529","-99.774257","DURHAM","OK","ROGER MILLS","STANDARD","No","NA","US","Durham, OK","NA-US-OK-DURHAM","112",55,61250,"49.006698","0","No",
"17883","40.938600","-76.988300","MIFFLINBURG","PA","UNION","PO BOX ONLY","No","NA","US","Mifflinburg, PA","NA-US-PA-MIFFLINBURG",,,,,,"No",
"18453","41.750980","-75.371098","FOREST CITY","PA","WAYNE","STANDARD","No","NA","US","Forest City, PA","NA-US-PA-FOREST CITY","1028",617,44844,"43.262697","0.609753","No",
"16910","41.705000","-76.828600","SNYDERTOWN","PA","BRADFORD","PO BOX ONLY","No","NA","US","Snydertown, PA","NA-US-PA-SNYDERTOWN",,,,,,"No",
"16910","41.705000","-76.828600","SNYDERTWN","PA","BRADFORD","PO BOX ONLY","No","NA","US","Snydertwn, PA","NA-US-PA-SNYDERTWN",,,,,,"No",
"16910","41.705000","-76.828600","SUNBURY","PA","BRADFORD","PO BOX ONLY","No","NA","US","Sunbury, PA","NA-US-PA-SUNBURY",,,,,,"No",
"25009","38.179811","-81.725667","NELLIS","WV","BOONE","STANDARD","No","NA","US","Nellis, WV","NA-US-WV-NELLIS","1651",714,30956,"31.433761","0","No",
"92147","32.715200","-117.156300","ASW TRAINING CTR","CA","SAN DIEGO","STANDARD","No","NA","US","ASW Training CTR, CA","NA-US-CA-ASW TRAINING CTR",,,,,,"No",
"67734","39.488765","-100.897555","REXFORD","KS","THOMAS","STANDARD","No","NA","US","Rexford, KS","NA-US-KS-Rexford","224",104,51094,"98.189063","0.010677","No",
"41214","37.775385","-82.570342","INEZ","KY","MARTIN","STANDARD","No","NA","US","Inez, KY","NA-US-KY-INEZ","647",289,17875,"49.151447","0.05306","No",
"58794","48.298407","-102.766451","Stanley","ND","MOUNTRAIL","STANDARD","No","NA","US","Stanley, ND","NA-US-ND-Stanley","140",91,30625,"103.380989","0.199373","No",
"22727","38.393351","-78.287375","ETLAN","VA","MADISON","STANDARD","No","NA","US","Etlan, VA","NA-US-VA-ETLAN","4507",1952,47059,"94.519156","0.119789","No",
"22727","38.393351","-78.287375","BANCO","VA","MADISON","STANDARD","No","NA","US","Banco, VA","NA-US-VA-BANCO","4507",1952,47059,"94.519156","0.119789","No",
"22721","38.393351","-78.287375","GRAVES MILL","VA","MADISON","STANDARD","Yes","NA","US","Graves Mills, VA","NA-US-VA-Graves Mills","4507",1952,47059,"94.519156","0.119789","Yes",
"25936","37.930061","-81.059645","GLEN JEAN","WV","FAYETTE","STANDARD","No","NA","US","Glen Jean, WV","NA-US-WV-GLEN JEAN","75",75,16250,"26.801803","0","No",
"28552","35.304817","-76.571155","HOBUCKEN","NC","PAMLICO","STANDARD","No","NA","US","Hobucken, NC","NA-US-NC-HOBUCKEN","318",237,40139,"14.340764","1.68306","No",
"40122","37.891000","-85.952000","FORT KNOX","KY","HARDIN","UNIQUE","Yes","NA","US","Fort Knox, KY","NA-US-KY-FORT KNOX",,0,0,,,,
"50982","41.583000","-93.639000","DES MOINES","IA","POLK","UNIQUE","Yes","NA","US","Des Moines, IA","NA-US-IA-DES MOINES",,0,0,,,,
"50982","41.583000","-93.639000","HP ENTERPRISE SERVICES","IA","POLK","UNIQUE","No","NA","US","Des Moines, IA","NA-US-IA-HP ENTERPRISE SERVICES",,0,0,,,,
"50983","41.583000","-93.639000","DES MOINES","IA","POLK","UNIQUE","Yes","NA","US","Des Moines, IA","NA-US-IA-DES MOINES",,0,0,,,,
"56945","41.583000","-93.639000","HP ENTERPRISE SERVICES","IA","POLK","UNIQUE","Yes","NA","US","Des Moines, IA","NA-US-IA-HP ENTERPRISE SERVICES",,0,0,,,,
"56965","38.895000","-77.037000","PARCEL RETURN SERVICE","DC","POLK","UNIQUE","YES","NA","US","Parcel Return Service, DC","NA-US-DC-Parcel Return Service",,0,0,,,,
"89158","36.175000","-115.136000","LAS VEGAS","NV","CLARK","STANDARD","Yes","NA","US","Las Vegas, NV","NA-US-NV-LAS VEGAS",,0,0,,,,
"93737","36.175000","-115.136000","CITY CENTER","NV","CLARK","STANDARD","Yes","NA","US","City Center, NV","NA-US-NV-CITY CENTER",,0,0,,,,
"96444","","","APO","AP",,"MILITARY","Yes",,,,,,0,0,,,,
"96444","","","FPO","AP",,"MILITARY","No",,,,,,0,0,,,,
"96502","","","FPO","AP",,"MILITARY","Yes",,,,,,0,0,,,,
"96516","","","FPO","AP",,"MILITARY","Yes",,,,,,0,0,,,,
"96577","","","APO","AP",,"MILITARY","Yes",,,,,,0,0,,,,
"96629","","","FPO","AP",,"MILITARY","Yes",,,,,,0,0,,,,
"98189","47.610000","-122.342000","SEATTLE","WA","KING","UNIQUE","Yes","NA","US","Seattle, WA","NA-US-WA-SEATTLE",,0,0,,,,
"98189","47.610000","-122.342000","DIAGNOS TECHS INC","WA","KING","UNIQUE","No","NA","US","Seattle, WA","NA-US-WA-DIAGNOS TECHS INC",,0,0,,,,
"09826","","","APO","AE",,"MILITARY","Yes","NA","US",,,,0,0,,,,
"09845","","","APO","AE",,"MILITARY","Yes","NA","US",,,,0,0,,,,
